temp,maxt,visibility,wspd,datetimeStr,heatindex,cloudcover,mint,datetime,precip,weathertype,snowdepth,humidity,wgust,conditions,windchill,Zipcode,Country
6.3,7.6,20.8,9.4,2021-12-14T00:00:00+01:00,,,5.3,1639440000000,0.02,,,92.66,,Rain,4.2,37073,Germany
7.1,7.8,12.0,11.6,2021-12-14T00:00:00+01:00,,,6.6,1639440000000,1.01,,,91.04,,Rain,4.6,42853,Germany
7.7,8.4,16.3,12.0,2021-12-14T00:00:00+01:00,,,6.8,1639440000000,0.2,,,90.5,,Rain,4.7,46282,Germany
2.5,3.7,4.5,11.5,2021-12-14T00:00:00+01:00,,,0.9,1639440000000,0.39,,,97.61,,Rain,-2.3,85435,Germany
6.9,7.5,12.3,13.2,2021-12-14T00:00:00+01:00,,,6.4,1639440000000,0.45,,,94.65,,Rain,3.9,28221,Germany
7.1,7.8,8.3,20.0,2021-12-14T00:00:00+01:00,,,6.1,1639440000000,0.11,,,95.48,,Rain,3.7,17033,Germany
2.1,2.7,2.2,32.0,2021-12-14T00:00:00+01:00,,,1.5,1639440000000,0.34,,,96.95,,Rain,-4.4,98544,Germany
7.6,8.3,15.3,12.7,2021-12-14T00:00:00+01:00,,,6.8,1639440000000,0.41,,,90.83,,Rain,4.8,44137,Germany
0.9,3.2,12.8,17.7,2021-12-14T00:00:00+01:00,,,-0.7,1639440000000,0.0,,,94.31,,Clear,-4.7,87700,Germany
8.0,8.9,18.7,14.0,2021-12-14T00:00:00+01:00,,,7.0,1639440000000,0.01,,,90.48,,Rain,4.5,41061,Germany
6.1,7.1,6.6,11.5,2021-12-14T00:00:00+01:00,,,5.4,1639440000000,0.11,,,94.1,,Rain,3.3,69115,Germany
8.1,8.5,10.2,17.0,2021-12-14T00:00:00+01:00,,,7.7,1639440000000,0.29,,,92.21,,Rain,5.0,21029,Germany
6.7,7.1,11.5,10.4,2021-12-14T00:00:00+01:00,,,5.0,1639440000000,0.08,,,94.2,,Rain,5.1,63450,Germany
7.7,8.6,17.7,11.1,2021-12-14T00:00:00+01:00,,,6.8,1639440000000,0.32,,,86.62,,Rain,5.0,59557,Germany
5.0,6.3,2.9,9.9,2021-12-14T00:00:00+01:00,,,4.1,1639440000000,0.03,,,96.19,,Rain,1.7,66424,Germany
6.7,7.0,10.4,11.2,2021-12-14T00:00:00+01:00,,,5.2,1639440000000,0.04,,,92.14,,Rain,4.8,60388,Germany
5.7,6.4,25.6,16.6,2021-12-14T00:00:00+01:00,,,4.8,1639440000000,0.0,,,88.73,,Clear,1.9,99099,Germany
7.3,7.9,16.1,11.8,2021-12-14T00:00:00+01:00,,,6.9,1639440000000,0.52,,,90.73,,Rain,5.1,32052,Germany
7.4,8.1,16.0,12.1,2021-12-14T00:00:00+01:00,,,6.6,1639440000000,0.4,,,91.13,,Rain,4.5,44787,Germany
8.0,8.8,18.7,14.0,2021-12-14T00:00:00+01:00,,,7.0,1639440000000,0.01,,,90.53,,Rain,4.5,41065,Germany
3.3,7.8,10.4,13.4,2021-12-14T00:00:00+01:00,,13.0,0.3,1639440000000,0.01,,,95.38,,Rain,-3.0,72202,Germany
1.5,3.7,4.9,12.3,2021-12-14T00:00:00+01:00,,,-0.2,1639440000000,0.0,,,97.55,,Clear,-4.1,89250,Germany
3.2,3.6,8.9,10.2,2021-12-14T00:00:00+01:00,,,2.8,1639440000000,0.28,,,96.7,,Rain,0.3,93073,Germany
6.9,7.5,12.2,12.8,2021-12-14T00:00:00+01:00,,,6.4,1639440000000,0.42,,,94.66,,Rain,4.0,10179,Germany
4.6,5.6,11.5,13.5,2021-12-14T00:00:00+01:00,,,3.0,1639440000000,0.0,,,93.86,,Clear,0.2,71332,Germany
7.0,7.9,7.9,14.5,2021-12-14T00:00:00+01:00,,88.0,6.0,1639440000000,0.46,,,94.16,,"Rain, Overcast",3.6,12351,Germany
7.0,7.6,18.3,8.9,2021-12-14T00:00:00+01:00,,,6.1,1639440000000,0.0,,,88.58,,Clear,4.9,55128,Germany
4.3,6.5,9.7,9.4,2021-12-14T00:00:00+01:00,,,2.1,1639440000000,0.0,,,93.41,,Clear,-0.2,73230,Germany
7.0,7.6,12.8,13.9,2021-12-14T00:00:00+01:00,,,6.5,1639440000000,0.45,,,94.18,,Rain,4.0,13507,Germany
5.4,6.2,5.9,13.0,2021-12-14T00:00:00+01:00,,,4.1,1639440000000,0.58,,,97.88,,Rain,1.2,97080,Germany
8.1,8.6,10.6,18.2,2021-12-14T00:00:00+01:00,,,7.7,1639440000000,0.5,,,93.77,,Rain,4.9,22529,Germany
2.4,3.8,5.0,11.0,2021-12-14T00:00:00+01:00,,,1.7,1639440000000,0.27,,,99.33,,Rain,-1.0,84030,Germany
7.6,8.7,23.2,18.0,2021-12-14T00:00:00+01:00,,,7.1,1639440000000,0.75,,,88.24,,Rain,4.7,38440,Germany
7.3,8.1,15.7,12.2,2021-12-14T00:00:00+01:00,,,6.5,1639440000000,0.25,,,91.54,,Rain,4.3,45326,Germany
8.0,8.7,30.7,14.1,2021-12-14T00:00:00+01:00,,,7.2,1639440000000,0.03,,,86.35,,Rain,5.6,50667,Germany
5.8,6.3,25.6,16.6,2021-12-14T00:00:00+01:00,,,5.2,1639440000000,0.0,,,86.27,,Clear,2.4,99423,Germany
6.1,6.8,7.8,11.7,2021-12-14T00:00:00+01:00,,,5.2,1639440000000,0.18,,,94.63,,Rain,3.5,64646,Germany
7.9,8.8,17.9,12.9,2021-12-14T00:00:00+01:00,,,7.0,1639440000000,0.02,,,90.93,,Rain,4.6,47803,Germany
7.8,8.1,10.2,15.2,2021-12-14T00:00:00+01:00,,,7.4,1639440000000,0.04,,,90.84,,Rain,4.7,21339,Germany
5.9,7.0,3.3,18.7,2021-12-14T00:00:00+01:00,,,5.3,1639440000000,0.01,,,91.55,,Rain,2.0,67663,Germany
5.5,5.9,2.4,13.7,2021-12-14T00:00:00+01:00,,,5.3,1639440000000,0.72,,,95.63,,Rain,2.5,57076,Germany
3.0,5.4,13.8,10.4,2021-12-14T00:00:00+01:00,,,0.4,1639440000000,0.23,,,92.34,,Rain,-1.8,80331,Germany
2.3,5.0,14.3,10.4,2021-12-14T00:00:00+01:00,,,0.1,1639440000000,0.29,,,94.28,,Rain,-2.3,81477,Germany
3.4,13.6,16.0,9.9,2021-12-14T00:00:00-05:00,,9.1,-4.0,1639440000000,0.0,,0.0,77.16,,Clear,8.4,4209,Germany
2.8,4.9,12.3,9.9,2021-12-14T00:00:00+01:00,,,0.4,1639440000000,0.26,,,93.63,,Rain,-1.9,85757,Germany
6.7,7.9,18.9,18.0,2021-12-14T00:00:00+01:00,,,5.7,1639440000000,0.19,,,92.24,,Rain,2.6,52062,Germany
2.6,12.8,16.0,13.2,2021-12-14T00:00:00-05:00,,6.6,-3.0,1639440000000,0.0,,0.0,62.09,,Clear,-5.1,1069,Germany
1.8,2.7,10.7,13.6,2021-12-14T00:00:00+01:00,,,0.8,1639440000000,0.0,,,98.23,,Clear,-1.9,88212,Germany
7.8,8.7,16.9,11.9,2021-12-14T00:00:00+01:00,,,6.9,1639440000000,0.09,,,90.46,,Rain,4.6,47051,Germany
7.6,8.3,21.6,16.7,2021-12-14T00:00:00+01:00,,,7.1,1639440000000,0.38,,,87.88,,Rain,4.7,31228,Germany
8.0,8.6,31.5,14.3,2021-12-14T00:00:00+01:00,,,7.2,1639440000000,0.03,,,86.6,,Rain,5.6,51103,Germany
7.4,8.0,16.2,11.5,2021-12-14T00:00:00+01:00,,,7.0,1639440000000,0.55,,,90.25,,Rain,5.3,32457,Germany
